age,education-num,hours-per-week,gender,class
24,7,40,Male,<=50K
47,13,60,Male,>50K
48,9,40,Male,<=50K
55,10,40,Female,<=50K
25,9,40,Female,<=50K
51,13,50,Male,>50K
27,13,40,Female,<=50K
70,9,20,Female,<=50K
21,3,36,Male,<=50K
33,12,55,Female,>50K
27,13,45,Male,<=50K
61,14,70,Female,<=50K
37,7,40,Male,>50K
40,4,40,Male,<=50K
30,13,80,Male,<=50K
22,10,40,Female,<=50K
55,9,45,Female,<=50K
77,10,35,Male,<=50K
61,15,45,Male,>50K
37,10,60,Male,<=50K
43,9,40,Female,<=50K
28,13,50,Male,>50K
64,9,3,Male,<=50K
22,10,40,Male,<=50K
47,13,60,Male,<=50K
47,13,45,Male,>50K
28,13,50,Male,<=50K
29,7,40,Male,<=50K
34,4,40,Male,<=50K
30,14,35,Female,>50K
19,4,40,Male,<=50K
44,2,60,Female,<=50K
29,9,40,Male,<=50K
50,14,70,Male,>50K
43,13,48,Male,<=50K
26,13,40,Female,<=50K
33,9,40,Female,>50K
49,10,41,Male,>50K
20,9,40,Male,<=50K
57,7,99,Male,<=50K
37,9,40,Male,<=50K
42,11,40,Male,>50K
23,9,40,Male,<=50K
35,9,50,Male,>50K
38,9,70,Male,>50K
49,9,40,Female,>50K
43,4,25,Male,<=50K
30,9,40,Female,<=50K
28,9,40,Female,<=50K
45,9,45,Male,<=50K
38,11,40,Female,<=50K
50,12,40,Male,<=50K
70,11,50,Male,>50K
34,9,35,Female,>50K
46,11,40,Female,<=50K
28,3,52,Male,<=50K
53,9,58,Female,<=50K
46,9,45,Male,>50K
45,14,50,Male,>50K
37,10,40,Male,<=50K
53,9,50,Male,>50K
34,6,20,Female,<=50K
34,13,50,Male,>50K
34,9,45,Male,<=50K
32,9,55,Male,>50K
41,9,45,Male,>50K
21,6,44,Male,<=50K
19,7,20,Female,<=50K
26,10,40,Male,<=50K
19,9,25,Female,<=50K
41,9,40,Male,<=50K
17,7,18,Male,<=50K
64,4,20,Male,<=50K
23,9,16,Female,<=50K
37,6,40,Male,<=50K
42,10,40,Female,<=50K
65,14,20,Male,<=50K
57,9,72,Male,<=50K
66,9,50,Female,<=50K
38,7,40,Male,<=50K
28,6,40,Female,<=50K
38,11,25,Male,<=50K
59,10,34,Male,<=50K
64,2,45,Male,<=50K
50,9,40,Male,>50K
26,9,40,Male,<=50K
45,9,50,Male,<=50K
27,10,40,Female,<=50K
58,9,60,Male,>50K
44,10,45,Female,<=50K
23,10,40,Female,<=50K
28,7,40,Male,<=50K
26,10,40,Male,<=50K
36,9,40,Male,<=50K
18,8,20,Male,<=50K
27,6,48,Female,<=50K
53,16,50,Male,>50K
39,13,50,Female,>50K
46,11,40,Male,>50K
35,13,40,Male,<=50K
38,9,40,Male,>50K
23,13,43,Female,<=50K
30,9,70,Male,<=50K
47,7,45,Female,<=50K
20,9,24,Female,<=50K
29,13,40,Male,<=50K
30,10,40,Male,<=50K
27,9,40,Male,<=50K
47,10,40,Male,<=50K
23,10,40,Male,>50K
19,10,40,Female,<=50K
28,10,50,Female,<=50K
37,9,40,Male,<=50K
41,9,40,Female,>50K
19,10,25,Female,<=50K
30,9,60,Male,<=50K
27,13,45,Female,<=50K
32,10,55,Female,<=50K
23,13,40,Male,<=50K
27,9,32,Female,<=50K
24,10,40,Male,<=50K
17,7,40,Male,<=50K
40,10,50,Male,<=50K
20,10,40,Male,<=50K
29,13,40,Male,>50K
24,10,40,Female,<=50K
55,10,35,Female,<=50K
45,3,35,Female,<=50K
52,13,40,Female,<=50K
34,7,40,Male,<=50K
24,9,24,Female,<=50K
39,9,45,Male,<=50K
33,10,40,Female,<=50K
31,12,35,Female,<=50K
54,10,40,Male,>50K
37,9,40,Male,<=50K
18,9,15,Female,<=50K
40,13,45,Female,<=50K
35,5,40,Male,<=50K
51,8,40,Male,>50K
26,9,40,Male,<=50K
33,14,35,Male,<=50K
44,9,40,Male,<=50K
38,10,40,Female,<=50K
29,13,45,Female,<=50K
49,12,45,Male,>50K
55,9,40,Male,<=50K
62,14,30,Male,<=50K
54,10,40,Female,<=50K
48,11,40,Male,>50K
52,11,40,Female,<=50K
48,9,50,Female,<=50K
40,14,50,Male,>50K
46,15,50,Male,>50K
31,9,40,Male,<=50K
33,11,45,Male,<=50K
55,10,25,Male,<=50K
37,14,45,Male,<=50K
53,16,50,Male,>50K
46,12,40,Female,<=50K
54,13,40,Male,<=50K
56,10,40,Male,<=50K
47,9,40,Male,<=50K
34,9,40,Male,<=50K
37,10,65,Male,<=50K
35,8,20,Male,<=50K
31,11,40,Male,>50K
34,9,45,Male,<=50K
38,9,40,Male,<=50K
44,11,40,Male,>50K
33,9,30,Male,>50K
46,10,40,Female,<=50K
50,13,16,Male,>50K
21,10,25,Female,<=50K
20,9,12,Male,<=50K
55,13,99,Male,<=50K
42,13,55,Female,<=50K
48,10,20,Female,<=50K
25,13,40,Female,<=50K
45,14,45,Male,<=50K
33,6,45,Female,<=50K
30,10,40,Male,>50K
23,10,40,Female,<=50K
28,7,50,Male,<=50K
20,10,40,Male,<=50K
55,6,40,Male,<=50K
33,11,50,Female,<=50K
27,9,40,Male,<=50K
50,9,35,Female,<=50K
61,11,40,Male,>50K
20,3,40,Male,<=50K
41,14,60,Male,>50K
45,10,40,Male,>50K
30,13,40,Male,<=50K
43,9,40,Female,<=50K
23,13,20,Female,<=50K
42,13,8,Male,<=50K
38,9,40,Male,<=50K
27,11,38,Male,<=50K
39,6,25,Female,<=50K
18,9,15,Female,<=50K
23,13,40,Male,<=50K
36,9,57,Male,<=50K
44,13,50,Male,>50K
32,9,40,Male,<=50K
44,13,40,Male,>50K
24,8,32,Male,<=50K
39,14,55,Male,>50K
34,13,40,Male,>50K
43,6,40,Male,<=50K
30,9,40,Male,<=50K
65,9,20,Male,<=50K
45,13,45,Male,>50K
35,11,50,Male,<=50K
29,5,48,Female,<=50K
70,4,25,Male,<=50K
48,7,40,Male,<=50K
29,13,40,Female,<=50K
46,10,40,Female,<=50K
42,6,45,Male,<=50K
45,9,40,Male,>50K
31,9,40,Female,<=50K
26,13,40,Female,<=50K
34,11,40,Female,<=50K
53,9,35,Male,<=50K
38,10,58,Female,<=50K
36,6,40,Male,<=50K
27,9,40,Male,<=50K
35,10,40,Female,<=50K
